"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","031","AZE","Azerbaijan","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2015","","","","9.05"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","031","AZE","Azerbaijan","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2019","","","","8.69"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","031","AZE","Azerbaijan","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2021","","","","8.48"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","031","AZE","Azerbaijan","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2022","","","","8.2398536576615"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","031","AZE","Azerbaijan","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2023","","","","8.19030577077778"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","031","AZE","Azerbaijan","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2024","","","","7.81914580621452"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","032","ARG","Argentina","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2015","","","","13.64"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","032","ARG","Argentina","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2016","","","","13.73"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","032","ARG","Argentina","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2017","","","","13.69"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","032","ARG","Argentina","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2018","","","","13.65"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","032","ARG","Argentina","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2019","","","","13.46"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","032","ARG","Argentina","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2020","","","","13.4"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","032","ARG","Argentina","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2021","","","","13.36"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","032","ARG","Argentina","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2022","","","","13.3497703255343"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","032","ARG","Argentina","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2023","","","","13.3928970833072"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","032","ARG","Argentina","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2024","","","","12.5281461399662"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","036","AUS","Australia","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2015","","","","2.52"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","036","AUS","Australia","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2016","","","","2.52"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","036","AUS","Australia","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2017","","","","2.5"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","036","AUS","Australia","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2018","","","","2.45"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","036","AUS","Australia","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2019","","","","2.41"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","036","AUS","Australia","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2020","","","","2.41"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","036","AUS","Australia","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2021","","","","2.41"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","036","AUS","Australia","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2022","","","","2.40067854612415"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","036","AUS","Australia","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2023","","","","2.39955484420722"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","036","AUS","Australia","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2024","","","","2.39844098469757"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","044","BHS","Bahamas","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2015","","","","33.88"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","044","BHS","Bahamas","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2016","","","","33.23"
